id,cases,file_name,file_id
0da74bba-de0a-4583-acc9-5f5e0a4ad0a4,"[{'case_id': '8808123c-50cc-4111-9552-5c2c1cbd2da0', 'samples': [{'sample_id': '8c556ab0-5393-498a-a3c6-9dd05738c003', 'sample_type': 'Primary Tumor'}]}]",87a06489-4b88-4fe1-8896-0cf7d23a901a.rna_seq.augmented_star_gene_counts.tsv,0da74bba-de0a-4583-acc9-5f5e0a4ad0a4
65b87b34-fca0-4ffe-853e-1edf2cee7bbe,"[{'case_id': '58d6a27e-07d1-4adb-81a2-a7fe6588458c', 'samples': [{'sample_id': '5e5d64f4-7086-41ab-b676-1dc1e8e8f8b9', 'sample_type': 'Primary Tumor'}]}]",18f974d7-d1e0-4e4f-95ff-bbc61a4ce1ab.rna_seq.augmented_star_gene_counts.tsv,65b87b34-fca0-4ffe-853e-1edf2cee7bbe
c67f194f-0c71-4835-801c-5b6da7a583ef,"[{'case_id': 'dbece124-c042-4adc-8136-90e7940ee6ad', 'samples': [{'sample_id': '92c7c076-1ae8-4672-a58f-7a4e6cc10e47', 'sample_type': 'Solid Tissue Normal'}]}]",4c84a3bd-3b6f-4627-a4d9-acd3b9669608.rna_seq.augmented_star_gene_counts.tsv,c67f194f-0c71-4835-801c-5b6da7a583ef
4236170e-67b4-4bd7-badd-4fcba557d0e3,"[{'case_id': 'dbece124-c042-4adc-8136-90e7940ee6ad', 'samples': [{'sample_id': 'f714cd57-39e0-46bf-a35a-988c574f75a1', 'sample_type': 'Primary Tumor'}]}]",6df80c92-775e-4bcf-b2c7-6cbd7e147447.rna_seq.augmented_star_gene_counts.tsv,4236170e-67b4-4bd7-badd-4fcba557d0e3
7da3a15e-9911-4429-98e7-d7ee03d7ad7f,"[{'case_id': 'acae4e48-57de-40c5-9ae5-4386144ebaea', 'samples': [{'sample_id': 'd926c859-1348-4dab-ac0e-4e4cde393664', 'sample_type': 'Primary Tumor'}]}]",ef697db7-3b14-4999-9e9b-85c37718f615.rna_seq.augmented_star_gene_counts.tsv,7da3a15e-9911-4429-98e7-d7ee03d7ad7f
0f3755ec-9e0e-4fc9-ae14-a32d6b486a7e,"[{'case_id': '28f899c5-ea17-4df6-83e6-e744e04d0ea1', 'samples': [{'sample_id': '6ec09b78-7ff6-491d-adef-29535869d33a', 'sample_type': 'Primary Tumor'}]}]",b1361753-6f8c-4038-addb-9e4767ca627c.rna_seq.augmented_star_gene_counts.tsv,0f3755ec-9e0e-4fc9-ae14-a32d6b486a7e
94cab1e2-dcd6-43b7-b359-75b0c4a485ba,"[{'case_id': '3351b902-9b7e-4b90-bf6b-bcf74be00bc1', 'samples': [{'sample_id': 'b4d0166a-c032-4865-9b1b-d49079d2c1c1', 'sample_type': 'Primary Tumor'}]}]",23f1ad0c-c9d5-408f-bba8-1bb71364007b.rna_seq.augmented_star_gene_counts.tsv,94cab1e2-dcd6-43b7-b359-75b0c4a485ba
7909042c-47f9-4f3a-9591-71f8856a571d,"[{'case_id': '7b982d5e-3a7d-40ac-bd25-6044c62879b6', 'samples': [{'sample_id': 'a6a1a05e-9126-45cd-b7be-c1c342faf5af', 'sample_type': 'Primary Tumor'}]}]",0648c653-891f-4202-8d83-59be8fc5e80c.rna_seq.augmented_star_gene_counts.tsv,7909042c-47f9-4f3a-9591-71f8856a571d
fc8ef0dc-9a48-4eba-aeb6-9eec106739ca,"[{'case_id': 'bd3bf142-7c14-4538-8a76-3c6e140fa01a', 'samples': [{'sample_id': '5d7f9648-e83a-41ee-a90c-5ae7c3bfa9be', 'sample_type': 'Solid Tissue Normal'}]}]",32c76d04-75c3-42ae-81bc-580a52dc936a.rna_seq.augmented_star_gene_counts.tsv,fc8ef0dc-9a48-4eba-aeb6-9eec106739ca
09152b74-f690-4dbc-a398-1f8dde28ec06,"[{'case_id': 'f3e67161-1532-4b50-a9b5-0da80410c4d7', 'samples': [{'sample_id': '5848ee1c-191f-4434-b7c6-598058aa0dd8', 'sample_type': 'Primary Tumor'}]}]",868bc289-3c43-4a0f-bbb1-703f0e9fa33a.rna_seq.augmented_star_gene_counts.tsv,09152b74-f690-4dbc-a398-1f8dde28ec06
441e6227-4fa3-4891-92ec-8a6f93a02ec6,"[{'case_id': '80aa8e99-41d5-422f-a1bb-69599aa8236f', 'samples': [{'sample_id': '113fcbc1-cf05-453f-bc88-6b4f28e4730f', 'sample_type': 'Primary Tumor'}]}]",fdbb6067-944b-42be-a7d3-9b200157e0f6.rna_seq.augmented_star_gene_counts.tsv,441e6227-4fa3-4891-92ec-8a6f93a02ec6
be19e560-e5b5-4cf2-aba3-295335d046c9,"[{'case_id': '0806923c-2dee-403d-a2e9-771722873b0d', 'samples': [{'sample_id': '61646911-1672-45ca-8deb-4192e1ceed49', 'sample_type': 'Primary Tumor'}]}]",1fc1521d-7cb1-4a33-b6ed-efee9edc87e2.rna_seq.augmented_star_gene_counts.tsv,be19e560-e5b5-4cf2-aba3-295335d046c9
e67aefdf-0c86-4390-aee1-2774d24c6cd1,"[{'case_id': '0e515ab8-99f9-43d9-a621-8fe9ede828ec', 'samples': [{'sample_id': '0120344d-7346-409f-8518-ef7b13f867ff', 'sample_type': 'Primary Tumor'}]}]",fb202ad6-ab00-453e-bc4e-bdc96965995e.rna_seq.augmented_star_gene_counts.tsv,e67aefdf-0c86-4390-aee1-2774d24c6cd1
d6a0842c-cfda-4abe-9197-d1dba14ec313,"[{'case_id': 'b09e872a-e837-49ec-8a27-84dcdcabf347', 'samples': [{'sample_id': 'f27ece99-8357-4648-9d1d-5e4127968c5f', 'sample_type': 'Primary Tumor'}]}]",81f9213e-6abf-4a0e-9dac-103c76294772.rna_seq.augmented_star_gene_counts.tsv,d6a0842c-cfda-4abe-9197-d1dba14ec313
75969880-a360-4e72-afe4-752dd6f04289,"[{'case_id': 'ffb83f21-06d9-4e52-a2d0-e85c13f4037f', 'samples': [{'sample_id': 'f45559d0-fa59-42ba-92f8-a4c7a1ca403d', 'sample_type': 'Primary Tumor'}]}]",b9a5766c-e155-423e-a075-10fb14fe87df.rna_seq.augmented_star_gene_counts.tsv,75969880-a360-4e72-afe4-752dd6f04289
dbdf3ac8-5a7b-4552-8713-44c819c88fc4,"[{'case_id': '6e6b8596-76aa-49f5-a997-46ebc0e43934', 'samples': [{'sample_id': '982a5674-2d81-4687-8f03-ef4b26ba8bae', 'sample_type': 'Primary Tumor'}]}]",98f050e8-0329-4978-955d-20782d692d41.rna_seq.augmented_star_gene_counts.tsv,dbdf3ac8-5a7b-4552-8713-44c819c88fc4
8e0fd46a-4f93-478b-9180-72a627d4439f,"[{'case_id': '05dbe801-5607-48cd-8344-92c8ec083156', 'samples': [{'sample_id': '76f91e6a-f0e0-4a93-9a2d-ef13357510ca', 'sample_type': 'Primary Tumor'}]}]",a571bba6-c41c-487b-a13d-a10ebbdf2b92.rna_seq.augmented_star_gene_counts.tsv,8e0fd46a-4f93-478b-9180-72a627d4439f
878bd922-f4b1-4fa0-bc0b-387d4356b0dc,"[{'case_id': 'd5461b65-63ee-4211-9c8b-ee288f012402', 'samples': [{'sample_id': '0c18fd49-3bbc-4a42-9314-b4847b40caac', 'sample_type': 'Primary Tumor'}]}]",01801907-cd58-4c48-a6ec-f1abfd60bfb1.rna_seq.augmented_star_gene_counts.tsv,878bd922-f4b1-4fa0-bc0b-387d4356b0dc
a716037c-61e3-4293-9bac-4d78d6ee42f1,"[{'case_id': 'c1b44902-1a94-40c6-b3c7-ad762ba65f9b', 'samples': [{'sample_id': 'de108240-4f00-47c5-97ea-2c0bada78f70', 'sample_type': 'Primary Tumor'}]}]",1548051e-752c-4d4b-b8af-87289d3542f5.rna_seq.augmented_star_gene_counts.tsv,a716037c-61e3-4293-9bac-4d78d6ee42f1
18343926-5f51-4bb2-a699-96b31c862241,"[{'case_id': 'b6fd456c-a0f8-415a-9b5c-a875b7f82f93', 'samples': [{'sample_id': 'e7080be7-5cb8-4828-89fd-9ea523818433', 'sample_type': 'Primary Tumor'}]}]",a18e1c84-061b-42b1-b4f9-53df78ce9ae3.rna_seq.augmented_star_gene_counts.tsv,18343926-5f51-4bb2-a699-96b31c862241
379c8d7f-b2cc-48c5-96ae-f996e57701eb,"[{'case_id': '5b432adc-b40c-4721-b82c-daa8893ce586', 'samples': [{'sample_id': 'a9e33bc0-6d6d-451b-901d-493751db64be', 'sample_type': 'Primary Tumor'}]}]",a2a4109c-e86e-43e3-9f02-a8201d3a49b1.rna_seq.augmented_star_gene_counts.tsv,379c8d7f-b2cc-48c5-96ae-f996e57701eb
